ID,Tibetan,EWTS,Kind,Codepoints,Comment
subjoined-0fa5,ྥ,ph,subjoined,U+0FA5,
subjoined-0fa6,ྦ,b,subjoined,U+0FA6,
subjoined-0fa8,ྨ,m,subjoined,U+0FA8,
subjoined-0fa9,ྩ,ts,subjoined,U+0FA9,
subjoined-0faa,ྪ,tsh,subjoined,U+0FAA,
subjoined-0fab,ྫ,dz,subjoined,U+0FAB,
subjoined-0fad,ྭ,w,subjoined,U+0FAD,wazur (as in grwa)
subjoined-0fae,ྮ,zh,subjoined,U+0FAE,
subjoined-0faf,ྯ,z,subjoined,U+0FAF,
subjoined-0fb1,ྱ,y,subjoined,U+0FB1,
subjoined-0fb2,ྲ,r,subjoined,U+0FB2,
subjoined-0fb3,ླ,l,subjoined,U+0FB3,
subjoined-0fb4,ྴ,sh,subjoined,U+0FB4,
subjoined-0fb5,ྵ,Sh,subjoined,U+0FB5,
subjoined-0fb6,ྶ,s,subjoined,U+0FB6,
subjoined-0fb7,ྷ,h,subjoined,U+0FB7,carries the NFC-decomposed aspirates: gha = U+0F42 U+0FB7 etc.
vowel-0f71,ཱ,A,vowel,U+0F71,a-chung vowel lengthener; A+i = I and A+u = U (the NFC decompositions of U+0F73/U+0F75)
vowel-0f72,ི,i,vowel,U+0F72,
vowel-0f74,ུ,u,vowel,U+0F74,
vowel-0f7a,ེ,e,vowel,U+0F7A,
vowel-0f7b,ཻ,ai,vowel,U+0F7B,Sanskrit diphthong (gi-gu doubled)
vowel-0f7c,ོ,o,vowel,U+0F7C,
vowel-0f7d,ཽ,au,vowel,U+0F7D,Sanskrit diphthong (na-ro doubled)
vowel-0f80,ྀ,-i,vowel,U+0F80,"reversed gi-gu (Old Tibetan orthography, Sanskrit ṛ/ḷ stacks)"
mark-0f7e,ཾ,M,mark,U+0F7E,anusvara (rjes su nga ro)
mark-0f7f,ཿ,H,mark,U+0F7F,visarga (rnam bcad)
mark-0f83,ྃ,~M,mark,U+0F83,candrabindu (sna ldan)
punctuation-0f04,༄,@,punctuation,U+0F04,yig mgo mdun ma (head mark opening canon texts)
punctuation-0f05,༅,#,punctuation,U+0F05,yig mgo sgab ma (head mark continuation)
punctuation-0f0b,་, ,punctuation,U+0F0B,"tsheg, the syllable delimiter — the space-analogue"
punctuation-0f0c,༌,*,punctuation,U+0F0C,non-breaking tsheg (tsheg bstar)
punctuation-0f0d,།,/,punctuation,U+0F0D,shad
punctuation-0f0e,༎,//,punctuation,U+0F0E,nyis shad
digit-0f20,༠,0,digit,U+0F20,
digit-0f21,༡,1,digit,U+0F21,
digit-0f22,༢,2,digit,U+0F22,
digit-0f23,༣,3,digit,U+0F23,
digit-0f24,༤,4,digit,U+0F24,
digit-0f25,༥,5,digit,U+0F25,
digit-0f26,༦,6,digit,U+0F26,
digit-0f27,༧,7,digit,U+0F27,
digit-0f28,༨,8,digit,U+0F28,
digit-0f29,༩,9,digit,U+0F29,
